รายได้เฉลี่ยต่อเดือนต่อครัวเรือน จำแนกตามภาค และจังหวัด พ.ศ. 2541 - 2558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Monthly Income Per Household: 1998 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,บาท   Baht  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ราชบุรี ,,12868,15174,14692,19867,23202,17576,20994,18713,25742,19590,     Ratchaburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     กาญจนบุรี ,,13082,11680,15380,12122,15606,15326,17571,15210,18746,18884,     Kanchanaburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สุพรรณบุรี ,,12409,13334,12984,15781,14783,15112,15797,15928,17260,15786,     Suphan Buri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     นครปฐม ,,15178,18297,18674,20701,33835,25447,24989,22955,30856,40347,     Nakhon Pathom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สมุทรสาคร ,,17565,13775,16437,15347,19555,18735,20978,20850,23658,29347,     Samut Sakhon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สมุทรสงคราม ,,11540,13072,13876,12528,16923,12634,18363,15068,16257,18310,     Samut Songkhram ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     เพชรบุรี ,,14135,12390,15993,13040,15042,17855,17440,20026,21784,26431,     Phetchaburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ประจวบคีรีขันธ์ ,,10017,10840,11666,13806,16238,17932,16934,17477,28459,23523,     Prachuap Khiri Khan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ภาคเหนือ ,,9779,8652,9530,10885,13146,13568,15727,17350,19267,18952, Northern Region ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     เชียงใหม่ ,,10349,9243,9582,12586,14904,14386,16141,18323,14393,14950,     Chiang Mai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
